#,Nombre,Número de Catálogo,Colector(es),Reino,Phylum,Clase,Orden,Familia,Género,País,Departamento,Municipio,Localidad,Latitud,Longitud
1,Achatocarpus nigricans Triana,TULV17802,"A. Castaño N, W. Devia",Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,ACHATOCARPACEAE,Achatocarpus,Colombia,Valle del Cauca,Obando,"Obando Via San Isidro, finca Cristales","04°34'02.2""N","75°57'45.3""W"
3229,Guzmania scherzeriana Mez,TULV8518,"W. J. Kress, C. Roesel, B. Echeverry",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,Colombia,Valle del Cauca,Buenaventura,"Outside Buenaventura, 6 Km. from San Isidro de Calima, Old secondary and primary wet forest.","03°56'00''N","77°08'00''W"
3230,Guzmania scherzeriana Mez,TULV8526,"W. J. Kress, C. Roesel, B. Echeverry",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,Colombia,Valle del Cauca,Buenaventura,"Road to Malaga, 46-55 Km. from turnolf of main Cali-Buenaventura, Highway.","03°56'00''N","77°08'00''W"
3231,Aechmea dactylina Baker,TULV8529,"W. J. Kress, C. Roesel, B. Echeverry",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Aechmea,Colombia,Valle del Cauca,Buenaventura,"Road to Malaga, 46-55 Km. from turnolf of main Cali-Buenaventura, Highway.","03°56'00''N","77°08'00''W"
3232,Ronnbergia germinyana (Carrière) Aguirre-Santoro,TULV8530,"W. J. Kress, C. Roesel, B. Echeverry",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Ronnbergia,Colombia,Valle del Cauca,Buenaventura,"Road to Malaga, 46-55 Km. from turnolf of main Cali-Buenaventura, Highway","03°56'00''N","77°08'00''W"
3233,Diospyros domarkind B.Walln.,TULV8891,"W. Devia, F. Prado",Plantae,Magnoliophyta,Magnoliopsida,Ericales,EBENACEAE,Diospyros,Colombia,Valle del Cauca,Buenaventura,"Vía Malaga, Km. 47. Bosque Pluvial Tropical.","03°56'00''N","77°08'00''W"
3234,Heliconia mucilagina Abalo & G.Morales,TULV9413,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cisneros, a 20 Km. de Buenaventura, vía nueva a Cali.","03°49'00''N","76°45'00''W"
3235,Heliconia mucilagina Abalo & G.Morales,TULV9414,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cisneros, a 20 Km. de Buenaventura, vía nueva a Cali.","03°49'00''N","76°45'00''W"
3236,Pitcairnia similis L.B.Sm.,TULV10549,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Pitcairnia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Choco.","03°49'41''N","76°52'10''W"
3237,Guzmania conglomerata H.Luther,TULV10550,"W. Devia, A. Cogollo, G. Ramirez, Kell, Gonzalez, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,Colombia,Valle del Cauca,Buenaventura,"Reserva Natural río Escalerete, bosque pluvial Tropical.","03°49'41''N","76°52'10''W"
3238,Ronnbergia germinyana (Carrière) Aguirre-Santoro,TULV10552,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Ronnbergia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Choco.","03°49'41''N","76°52'10''W"
3239,Ronnbergia germinyana (Carrière) Aguirre-Santoro,TULV10553,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Ronnbergia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeografica del Choco.","03°49'41''N","76°52'10''W"
3240,Pitcairnia lepidopetalon L.B.Sm.,TULV11207,"K. S. Edwards, W. Devia",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Pitcairnia,Colombia,Valle del Cauca,Buenaventura,"30 Km. on road Buenaventura-Cali, Bendiciones, Highly altered pluvial forest.","03°52'00''N","76°49'00''W"
3241,Heliconia juruana Loes.,TULV11419,"X. Londoño, M. Kobayashi",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Amazonas,Leticia,"Parque Nacional  Natural de Amacayuca - INDERENA, trocha Matamatá - Amacayuca km 4.5",Sin especificar,Sin especificar
3242,Heliconia laxa Abalo & G.Morales,TULV11440,"W. J. Kress, J. Betancur. M. Mejia",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Cundinamarca,Bogotá,"Road between Bogotá and Villeta, near Sasaima, small tributary of Rio Dulce. On slopes of old secondary growth above small stream.",Sin especificar,Sin especificar
3243,Heliconia laxa Abalo & G.Morales,TULV11444,"W. J. Kress, J. Betancur. M. Mejia",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Cundinamarca,Bogotá,"Road between Bogotá and Villeta, near Sasaima, small tributary of Rio Dulce. On slopes of old secondary growth above small stream.",Sin especificar,Sin especificar
3244,Heliconia laxa Abalo & G.Morales,TULV11446,"W. J. Kress, J. Betancur. M. Mejia",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Cundinamarca,Bogotá,"Road between Bogotá and Villeta, near Sasaima, small tributary of Rio Dulce. On slopes of old secondary growth above small stream.",Sin especificar,Sin especificar
3245,Heliconia laxa Abalo & G.Morales,TULV11448,"W. J. Kress, J. Betancur. M. Mejia",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Cundinamarca,Bogotá,"Road between Bogotá and Villeta, near Sasaima, small tributary of Rio Dulce. On slopes of old secondary growth above small stream.",Sin especificar,Sin especificar
3246,Heliconia laxa Abalo & G.Morales,TULV11453,"W. J. Kress, J. Betancur. M. Mejia",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Cundinamarca,Bogotá,"Road between Bogotá and Villeta, near Sasaima, small tributary of Rio Dulce. On slopes of old secondary growth above small stream.",Sin especificar,Sin especificar
3247,Guzmania gracilior L.B.Sm.,TULV11837,"J. Smith, R. Bernal, X. Londoño, W. Devia",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,Colombia,Valle del Cauca,Calima El Darien,"From Campoalegre into area controlled by Corporacion Valle del Cauca, trail uphill behind last camp (El Chanco) area with few large trees","04°00'00''N","76°40'00''W"
3248,Ronnbergia  maidifolia Mez,TULV11867,"J. Smith, R. Bernal, X. Londoño, W. Devia",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Ronnbergia,Colombia,Valle del Cauca,Calima El Darien,"Trail leading from Campoalegre into area controlled by Corporacion Valle del Cauca, trail from last camp (El Chanco) across stream via cable cart uphill and to left to CVC altitude marker","04°00'00''N","76°40'00''W"
3249,Pitcairnia  macranthera André,TULV11942,"J. Smith, R. Bernal, X. Londoño, W. Devia",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Pitcairnia,Colombia,Valle del Cauca,Calima El Darien,"Trail leading from Campoalegre into area controlled by Corporacion Valle del Cauca, trail from last camp (El Chanco) across stream via cable cart uphill and to left to CVC altitude marker,","04°00'00''N","76°40'00''W"
3250,Heliconia marginata (Griggs) Pittier,TULV12202,"W. Devia, R. Bernal, G. Galeano",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Putumayo,Puerto Leguízamo,Parque Nacional Natural La Paya.,Sin especificar,Sin especificar
3251,Heliconia marginata (Griggs) Pittier,TULV12203,"W. Devia, R. Bernal, G. Galeano",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Putumayo,Puerto Leguízamo,Parque Nacional Natural La Paya.,Sin especificar,Sin especificar
3252,Heliconia schumanniana Loes.,TULV12204,"W. Devia, R. Bernal, G. Galeano",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Putumayo,Puerto Leguízamo,Parque Nacional Natural La Paya.,Sin especificar,Sin especificar
3253,Ronnbergia germinyana (Carrière) Aguirre-Santoro,TULV12217,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Ronnbergia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Choco.","03°49'41''N","76°52'10''W"
3254,Guzmania scherzeriana Mez,TULV12247,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,Colombia,Valle del Cauca,Buenaventura,"Reserva Natural río Escalerete, bosque pluvial Tropical.","03°49'41''N","76°52'10''W"
3255,Heliconia spathocircinata Aristeg.,TULV12483,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Buenaventura,Corregimietno Zabaletas-Bueneventura.,Sin especificar,Sin especificar
3256,Ronnbergia tonduzii (Mez & Pittier ex Mez) Aguirre-Santoro,TULV13996,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Ronnbergia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Choco.","03°49'41''N","76°52'10''W"
3257,Pitcairnia lepidopetalon L.B.Sm.,TULV13999,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Pitcairnia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Choco.","03°49'41''N","76°52'10''W"
3258,Pitcairnia lepidopetalon L.B.Sm.,TULV14000,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Pitcairnia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Choco.","03°49'41''N","76°52'10''W"
3259,Vriesea  chontalensis (Baker) L.B.Sm,TULV14001,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Vriesea,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Bosque pluvial Tropical, Región Fitogeográfica del Choco.","03°49'41''N","76°52'10''W"
3260,Guzmania sprucei (André) L.B.Sm.,TULV14002,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Choco.","03°49'41''N","76°52'10''W"
3261,Pitcairnia similis L.B.Sm.,TULV14003,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Pitcairnia,Colombia,Valle del Cauca,Buenaventura,"Reserva Natural río Escalerete, bosque pluvial Tropical.","03°49'41''N","76°52'10''W"
3262,Pitcairnia squarrosa L.B.Sm,TULV14004,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Pitcairnia,Colombia,Valle del Cauca,Buenaventura,"Reserva Natural río Escalerete, bosque pluvial Tropical.","03°49'41''N","76°52'10''W"
3263,Ronnbergia germinyana (Carrière) Aguirre-Santoro,TULV14005,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Ronnbergia,Colombia,Valle del Cauca,Buenaventura,"Reserva Natural río Escalerete, bosque pluvial Tropical.","03°49'41''N","76°52'10''W"
3264,Guzmania glomerata Mez & Wercklé,TULV14006,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,Colombia,Valle del Cauca,Buenaventura,"Reserva Natural río Escalerete, bosque pluvial Tropical.","03°49'41''N","76°52'10''W"
3265,Guzmania sprucei (André) L.B.Sm.,TULV14007,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,Colombia,Valle del Cauca,Buenaventura,"Reserva Natural río Escalerete, bosque pluvial Tropical.","03°49'41''N","76°52'10''W"
3266,Guzmania sprucei (André) L.B.Sm.,TULV14008,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,Colombia,Valle del Cauca,Buenaventura,"Reserva Natural río Escalerete, bosque pluvial Tropical.","03°49'41''N","76°52'10''W"
3267,Guzmania testudinis L.B.Sm. & R.W.Read,TULV14651,"W. Devia, J. Adarve, J.P.Medina, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,Colombia,Chocó,San José del Palmar,"Las Amarillas, Finca la Florida, Km 24 vía el Cairo - Río Blanco","04°46'26""N","76°18'32""W"
3268,Heliconia longa (Griggs) Winkl.,TULV14668,"W. Devia, J. Adarve, J.P.Medina, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Chocó,San José del Palmar,"Las Amarillas, Finca la Florida, Km 24 vía el Cairo - Río Blanco","04°46'26""N","76°18'32""W"
3269,Pitcairnia bicolor L.B.Sm. & R.W. Read,TULV14680,"W. Devia, J. Adarve, J.P.Medina, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Pitcairnia,Colombia,Chocó,San José del Palmar,"Las Amarillas, Finca la Florida, Km 24 vía el Cairo - Río Blanco","04°46'26""N","76°18'32""W"
3270,Guzmania testudinis L.B.Sm. & R.W.Read,TULV14692,"W. Devia, J. Adarve, J.P.Medina, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,Colombia,Chocó,San José del Palmar,"Las Amarillas, Finca la Florida, Km 24 vía el Cairo - Río Blanco","04°46'26""N","76°18'32""W"
3271,Heliconia venusta Abalo & G.Morales,TULV15882,"W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,Santuario,"Vereda La Cumbre, Finca Chipre, Frente a la casa de Vidalio Ledezma","05°08'55''N","76°00'53''W"
3272,Ronnbergia germinyana (Carrière) Aguirre-Santoro,TULV17037,"D.C. Daly, J. B. Adarve, J. Orrego",Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Ronnbergia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Pianguita, hotel maguipi, trail to Playa Dorada. Slightly disturbed moist forest on hilly terrain near shore.","03°50'09""N","77°15'52""W"
3273,Lycopodium clavatum L.,TULV93,I. Cabrera,Plantae,Pterydophita,Lycophyta,Lycopodiales,LYCOPODIACEAE,Lycopodium,Colombia,Valle del Cauca,Florida,"Cordillera Central, cabecera del río Desbaratado, a plena exposición.",Sin especificar,Sin especificar
3274,Serpocaulon adnatum (Kunze ex Klotzsch) A.R. Sm.,TULV164,I. Cabrera,Plantae,Pterydophita,Monilophyta,Polypodiales,POLYPODIACEAE,Serpocaulon,Colombia,Valle del Cauca,Buenaventura,A 20 Km. vía Cali-Buenaventura,"03°34'00''N","76°39'00''W"
3275,Selaginella haematodes (Kunze) Spring,TULV197,I. Cabrera,Plantae,Pterydophita,Lycophyta,Sellaginellales,SELAGINELLACEAE,Selaginella,Colombia,Caquetá,Puerto Rico,"Margen izquierda del riecito, finca Las Palmas. Comisaria del Caqueta.",Sin especificar,Sin especificar
3276,Urera caracasana (Jacq.) Gaudich. ex Griseb.,TULV208,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Rosales,URTICACEAE,Urera,Colombia,Valle del Cauca,Tuluá,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes","04°01'42""N","76°10'08""W"
3277,Urera caracasana (Jacq.) Gaudich. ex Griseb.,TULV209,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Rosales,URTICACEAE,Urera,Colombia,Valle del Cauca,Tuluá,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes","04°01'42""N","76°10'08""W"
3278,Cyathea conjugata (Spruce ex Hook.) Domin,TULV425,"M. T. Murillo, R. Jaramillo",Plantae,Pterydophita,Monilophyta,Cyatheales,CYATHEACEAE,Cyathea,Colombia,Santander,Tona,"Vía Bucaramanga-Pamplona, arriba de La Corcova. En bosquecillo.",Sin especificar,Sin especificar
3279,Microgramma percussa (Cav.) de la Sota,TULV1783,"E. Forero, R. Jaramillo",Plantae,Pterydophita,Monilophyta,Polypodiales,POLYPODIACEAE,Microgramma,Colombia,Caldas,Palestina,"Hoya del rio San Juan, alrededores de Palestina.","04°10'00''N","77°10'00''W"
3280,Trichomanes pinnatum Hedw.,TULV1826,"L. E. Forero, R. Jaramillo",Plantae,Pterydophita,Monilophyta,Hymephyllales,HYMENOPHYLLACEAE,Trichomanes,Colombia,Chocó,Litoral del San Juan,"Hoya del río San Juan, Quebrada La Sierpe, afluente del río San Juan, al frente de Palestina.","04°10'00''N","77°10'00''W"
3281,"Mickelia nicotianifolia (Sw.) R.C. Moran, Labiak & Sundue",TULV1846,"L. E. Forero, R. Jaramillo",Plantae,Pterydophita,Monilophyta,Polypodiales,DRYOPTERIDACEAE,Mickelia,Colombia,Caldas,Palestina,"Hoya del río San Juan, alrededores de Palestina, 5 mt de alt.","04°10'00''N","77°10'00''W"
3282,Microgramma percussa (Cav.) de la Sota,TULV1899,"L. E. Forero, R. Jaramillo",Plantae,Pterydophita,Monilophyta,Polypodiales,POLYPODIACEAE,Microgramma,Colombia,Chocó,Litoral del San Juan,"Hoya del rÍo San Juan, alrededores de Docordó","04°15'00''N","77°22'00''W"
3283,Microgramma percussa (Cav.) de la Sota,TULV1988,P. Silverstone,Plantae,Pterydophita,Monilophyta,Polypodiales,POLYPODIACEAE,Microgramma,Colombia,Valle del Cauca,Calima El Darien,"Vía Lago Calima, a casa Campo Alegre, paralelo al río.","03°46'00''N","76°31'00''W"
3284,Salpichlaena volubilis (Kaulf.) J. Sm.,TULV2140,W. Devia,Plantae,Pterydophita,Monilophyta,Schizaeales,SCHIZAEACEAE,Salpichlaena,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Bajo Calima, Granja Agroforestal.","03°56'00''N","77°08'00''W"
3285,Tectaria plantaginea (Jacq.) Maxon,TULV3037,T. B. Croat,Plantae,Pterydophita,Monilophyta,Polypodiales,TECTARIACEAE,Tectaria,Colombia,Chocó,Istmina,"Along road between Pueblo Rico (Risaralda) and Istmina (Chocó), 1 Km. W of Guarato and río Guarato at Risaralda and Choco border, along small stream.","05°21'00''N","76°11'00''W"
3286,Equisetum  giganteum L.,TULV3113,H. Cuadros,Plantae,Pterydophita,Monilophyta,Equisetales,EQUISETACEAE,Equisetum,Colombia,Valle del Cauca,Vijes,Quebrada Villanueva.,"03°39'00''N","76°30'00''W"
3287,Serpocaulon adnatum (Kunze ex Klotzsch) A.R. Sm.,TULV3256,W. Devia,Plantae,Pterydophita,Monilophyta,Polypodiales,POLYPODIACEAE,Serpocaulon,Colombia,Valle del Cauca,Tuluá,"Corregimiento Monteloro, Vereda La Diadema, finca del señor Rogelio.",Sin especificar,Sin especificar
3288,Radiovittaria stipitata (Kunze) E.H. Crane,TULV3369,P. Silverstone,Plantae,Pterydophita,Monilophyta,Polypodiales,PTERIDACEAE,Radiovittaria,Colombia,Valle del Cauca,Sevilla,"Vía Sevilla-Barragan, a 1 Km. de Sevilla.","04°16'00''N","75°55'00''W"
3289,Campyloneurum chlorolepis Alston,TULV3378,P. Silverstone,Plantae,Pterydophita,Monilophyta,Polypodiales,POLYPODIACEAE,Campyloneurum,Colombia,Valle del Cauca,Sevilla,"Vía Sevilla-Barragan, a 1 Km. de Sevilla.","04°16'00''N","75°55'00''W"
3290,Microgramma percussa (Cav.) de la Sota,TULV3418,P. Silverstone,Plantae,Pterydophita,Monilophyta,Polypodiales,POLYPODIACEAE,Microgramma,Colombia,Valle del Cauca,Sevilla,"Vía Sevilla-Barragan, a 28 Km. de Sevilla, finca Alsanieves.","04°16'00''N","75°55'00''W"
3291,Phenax hirtus (Sw.) Wedd.,TULV3450,P. Silverstone,Plantae,Magnoliophyta,Magnoliopsida,Rosales,URTICACEAE,Phenax,Colombia,Valle del Cauca,Sevilla,"Vía Sevilla-Barragán, a 20 Km. de Sevilla, area abierta","04°16'00''N","75°55'00''W"
3292,Equisetum bogotense Kunth,TULV4162,P. Silverstone,Plantae,Pterydophita,Monilophyta,Equisetales,EQUISETACEAE,Equisetum,Colombia,Valle del Cauca,Buga,"Vereda Nogales, El Placer, finca Campoalegre","03°53'00''N","76°01'00''W"
3293,Serpocaulon triseriale (Sw.) A.R. Sm.,TULV4293,P. Silverstone,Plantae,Pterydophita,Monilophyta,Polypodiales,POLYPODIACEAE,Serpocaulon,Colombia,Valle del Cauca,Calima El Darien,"Valle del río Bravo, cerca de Playa Rica.",Sin especificar,Sin especificar
3294,Serpocaulon levigatum (Cav.) A.R. Sm.,TULV4368,P. Silverstone,Plantae,Pterydophita,Monilophyta,Polypodiales,POLYPODIACEAE,Serpocaulon,Colombia,Valle del Cauca,Trujillo,"Vereda La Debora, arriba de la Plaza de Trujillo.","04°13'00""N","76°19'00""W"
3295,Jamesonia  glaberrima (Maxon) Christenh.,TULV4401,P. Silverstone,Plantae,Pterydophita,Monilophyta,Polypodiales,PTERIDACEAE,Jamesonia,Colombia,Chocó,San José del Palmar,"Cerro del Torrá, Vertiente Nordeste,","04°46'26""N","76°18'32""W"
3296,Hymenophyllum fucoides (Sw.) Sw.,TULV4411,P. Silverstone,Plantae,Pterydophita,Monilophyta,Hymephyllales,HYMENOPHYLLACEAE,Hymenophyllum,Colombia,Chocó,San José del Palmar,"Cerro del Torrá, Vertiente Nordeste, falda muy pendiente entre mesa y cumbre, bosque primario muy espeso.","04°46'26""N","76°18'32""W"
3297,Jamesonia  glaberrima (Maxon) Christenh.,TULV4421,P. Silverstone,Plantae,Pterydophita,Monilophyta,Polypodiales,PTERIDACEAE,Jamesonia,Colombia,Chocó,San José del Palmar,"Cerro del Torrá, Vertiente Nordeste, vecindad de campo aterrizaje helicópteros, rastrojo secundario bajo abierto.","04°46'26""N","76°18'32""W"
3298,Jamesonia  glaberrima (Maxon) Christenh.,TULV4425,P. Silverstone,Plantae,Pterydophita,Monilophyta,Polypodiales,PTERIDACEAE,Jamesonia,Colombia,Chocó,San José del Palmar,"Cerro del Torrá, Vertiente Nordeste, bosque de neblina 1x,","04°46'26""N","76°18'32""W"
3299,Serpocaulon levigatum (Cav.) A.R. Sm.,TULV4426,P. Silverstone,Plantae,Pterydophita,Monilophyta,Polypodiales,POLYPODIACEAE,Serpocaulon,Colombia,Chocó,San José del Palmar,"Cerro del Torrá, Vertiente Nordeste, bosque de neblina 1x,","04°46'26""N","76°18'32""W"
3300,Cyathea conjugata (Spruce ex Hook.) Domin,TULV4434,P. Silverstone,Plantae,Pterydophita,Monilophyta,Cyatheales,CYATHEACEAE,Cyathea,Colombia,Chocó,San José del Palmar,"Cerro del Torrá, Vertiente Nordeste, vecindad de campo aterrizaje helicopteros, rastrojo secundario bajo abierto.","04°46'26""N","76°18'32""W"
3301,Polybotrya lechleriana Mett.,TULV4439,P. Silverstone,Plantae,Pterydophita,Monilophyta,Polypodiales,DRYOPTERIDACEAE,Polybotrya,Colombia,Chocó,San José del Palmar,"Cerro del Torrá, Vertiente Nordeste, bosque de neblina 1°.","04°46'26""N","76°18'32""W"
3302,Serpocaulon fraxinifolium (Jacq.) A.R. Sm.,TULV4451,P. Silverstone,Plantae,Pterydophita,Monilophyta,Polypodiales,POLYPODIACEAE,Serpocaulon,Colombia,Chocó,San José del Palmar,"Cerro del Torrá, Vertiente Nordeste, bosque de neblina 1x,","04°46'26""N","76°18'32""W"
3303,Serpocaulon dasypleuron (Kunze) A.R. Sm.,TULV4453,P. Silverstone,Plantae,Pterydophita,Monilophyta,Polypodiales,POLYPODIACEAE,Serpocaulon,Colombia,Chocó,San José del Palmar,"Cerro del Torrá, Vertiente Nordeste, bosque de neblina 1x,","04°46'26""N","76°18'32""W"
3304,Blechnum auratum (Fée) R.M. Tryon & Stolze,TULV4461,P. Silverstone,Plantae,Pterydophita,Monilophyta,Polypodiales,BLECHNACEAE,Blechnum,Colombia,Chocó,San José del Palmar,"Cerro del Torra, cumbre, rastrojo, 1x bajo abierto.","04°46'26""N","76°18'32""W"
3305,Boehmeria ramiflora Jacq.,TULV4559,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Rosales,URTICACEAE,Boehmeria,Colombia,Valle del Cauca,Calima El Darien,"Vereda Río Bravo, Quebrada La Cristalina, El Pital, Proyecto Calima III.","03°55'00''N","76°33'00''W"
3306,Boehmeria caudata Sw.,TULV4612,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Rosales,URTICACEAE,Boehmeria,Colombia,Valle del Cauca,Calima El Darien,"Vereda Río Bravo, El Pital, Calima III.","03°55'00''N","76°33'00''W"
3307,Urera baccifera (L.) Gaudich. ex Wedd.,TULV5528,G. Parra,Plantae,Magnoliophyta,Magnoliopsida,Rosales,URTICACEAE,Urera,Colombia,Valle del Cauca,Buga,Común en orilla de cañada conservada.,Sin especificar,Sin especificar
3308,Urera baccifera (L.) Gaudich. ex Wedd.,TULV5529,G. Parra,Plantae,Magnoliophyta,Magnoliopsida,Rosales,URTICACEAE,Urera,Colombia,Valle del Cauca,Buga,Común en orilla de cañada conservada.,Sin especificar,Sin especificar
3309,Lycopodium clavatum L.,TULV5725,W. Devia,Plantae,Pterydophita,Lycophyta,Lycopodiales,LYCOPODIACEAE,Lycopodium,Colombia,Valle del Cauca,Tuluá,"Corregimiento Santa Lucia, Alto La Italia, Paramillo.","03°56'00''N","75°56'00""W"
3310,Saccoloma  inaequale (Kunze) Mett.,TULV7161,"W. Devia, R. Bernal, F. Prado",Plantae,Pterydophita,Monilophyta,Polypodiales,SACCOLOMATACEAE,Saccoloma,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Chancos, orilla río Calima, campamento CVC.",Sin especificar,Sin especificar
3311,Phlegmariurus reflexus (Lam.) B. Øllg.,TULV7402,"W. Devia, R. Bernal, F. Prado",Plantae,Pterydophita,Lycophyta,Lycopodiales,LYCOPODIACEAE,Phlegmariurus,Colombia,Cauca,El Tambo,"Corregimiento La Romelia, Parque Nacional Natural Munchique, vía al Km. 81.",Sin especificar,Sin especificar
